ReviewerName,ProviderName,DateVisited,ReviewDate,ReviewText,ReviewerNumReviews,ReviewType,ReviewHelpful,ReviewerLocationState,ReviewerAge,ReviewerPhotos,ReviewURL,ReviewerPoints,ClassType,ReviewPicture,ReviewNumPic,ReviewerNumHelpful,ReviewerLevelContrib,ReviewMobile,ReviewTitle,ReviewerLocationCity,ProviderLocation,ReviewerSince,PointsRate
Frequenttraveler082,Steps on Broadway - Day Classes,03/01,03/31/16,"I took an adult ballet class here, on a drop in basis. Easy registration process, extremely reasonable pricing, considering the studios are excellent spaces, great floors, live piano accompanists, and, dance teachers who have serious credentials. The instructor for the ballet class I took was Heather Hawk - fantastic teacher. She gave individual corrections, demonstrated for us, was encouraging and positive, and, gave clear instructions. There were only 7 of us in the class. I am convinced that the studio I was in is the same studio in a scene from When Harry Met Sally, where Sally is taking tap class. It was an absolute treat to be able to take this class. I highly recommend Steps on Broadway to anyone seeking high quality dance classes for ballet and any other dance form.",174,Solo,1,Wisconsin, 35-49 year old ,,https://www.tripadvisor.com//ShowUserReviews-g60763-d8403548-r360526015-Steps_on_Broadway_Day_Classes-New_York_City_New_York.html#REVIEWS,18108,Dance,No,0,118,06,No,Legendary Establishment * Great Drop-in Classes * Fantastic Teachers * Reasonable Prices,,"2121 Broadway , 3rd Floor , New York City , NY 10023", Sep 2007,5
Angelique M,Steps on Broadway - Day Classes,08/01,None found,My friend and I decided to take an impromptu Int/Adv ballet class after an audition. They had very nice staff and were helpful. I love the piano accompaniment. It brings be back to my youth. I would definitely recommend classes.,57,Solo,1,Florida,No Age Found,5,https://www.tripadvisor.com//ShowUserReviews-g60763-d8403548-r297701365-Steps_on_Broadway_Day_Classes-New_York_City_New_York.html#REVIEWS,5997,Dance,No,0,12,05,Yes,Ballet class surprise,Orlando,"2121 Broadway , 3rd Floor , New York City , NY 10023", Mar 2015,4
Hrtofhome,Steps on Broadway - Day Classes,07/01,None found,We were recommended Steps by our dance studio. Our 13 year old has been dancing for almost 11 years and walked in to take a tap class. It was mid summer and people were vacationing so she received a semi private lesson and learned a lot! She had a great time!,23,Solo,,Bedford,No Age Found,1,https://www.tripadvisor.com//ShowUserReviews-g60763-d8403548-r290381733-Steps_on_Broadway_Day_Classes-New_York_City_New_York.html#REVIEWS,2334,Dance,No,0,4,03,No,Tapping in NYC,,"2121 Broadway , 3rd Floor , New York City , NY 10023", Aug 2014,5
dancethrulife,Steps on Broadway - Day Classes,06/01,None found,"This is a dance institution, a mecca of sorts. Gelsey Kirkland trained and taught here (please read Dancing on My Grave ASAP if you haven’t already). Steps has a user friendly website for easy registration and purchasing of classes. Class schedule is conveniently posted and you can search/sort by date, dance style, etc. There are many dance styles and levels to choose from. I took a Sunday morning ballet class. This isn't a glitzy place, a little old school even, but it is a true dance studio with excellent classes and teachers. In my classroom, I felt like I was in a scene from The Turning Point. Bring water! It can get really warm in the rooms. Class was excellent and gave me a great workout. There is a little onsite café for snacks and beverages, and a small merchandise store. Great experience! Can’t wait to take class there next time I’m in NYC.",56,Solo,,Illinois,No Age Found,2,https://www.tripadvisor.com//ShowUserReviews-g60763-d8403548-r283938241-Steps_on_Broadway_Day_Classes-New_York_City_New_York.html#REVIEWS,5810,Dance,No,0,40,05,No,Dance Your Heart Out at Steps on Broadway,Chicago,"2121 Broadway , 3rd Floor , New York City , NY 10023", Mar 2011,5
Frequenttraveler082,Steps on Broadway - Day Classes,03/01,03/31/16,"I took an adult ballet class here, on a drop in basis. Easy registration process, extremely reasonable pricing, considering the studios are excellent spaces, great floors, live piano accompanists, and, dance teachers who have serious credentials. The instructor for the ballet class I took was Heather Hawk - fantastic teacher. She gave individual corrections, demonstrated for us, was encouraging and positive, and, gave clear instructions. There were only 7 of us in the class. I am convinced that the studio I was in is the same studio in a scene from When Harry Met Sally, where Sally is taking tap class. It was an absolute treat to be able to take this class. I highly recommend Steps on Broadway to anyone seeking high quality dance classes for ballet and any other dance form.",174,Couples,1,Wisconsin, 35-49 year old ,,https://www.tripadvisor.com//ShowUserReviews-g60763-d8403548-r360526015-Steps_on_Broadway_Day_Classes-New_York_City_New_York.html#REVIEWS,18108,Dance,No,0,118,06,No,Legendary Establishment * Great Drop-in Classes * Fantastic Teachers * Reasonable Prices,,"2121 Broadway , 3rd Floor , New York City , NY 10023", Sep 2007,5
Angelique M,Steps on Broadway - Day Classes,08/01,None found,My friend and I decided to take an impromptu Int/Adv ballet class after an audition. They had very nice staff and were helpful. I love the piano accompaniment. It brings be back to my youth. I would definitely recommend classes.,57,Couples,1,Florida,No Age Found,5,https://www.tripadvisor.com//ShowUserReviews-g60763-d8403548-r297701365-Steps_on_Broadway_Day_Classes-New_York_City_New_York.html#REVIEWS,5997,Dance,No,0,12,05,Yes,Ballet class surprise,Orlando,"2121 Broadway , 3rd Floor , New York City , NY 10023", Mar 2015,4
Hrtofhome,Steps on Broadway - Day Classes,07/01,None found,We were recommended Steps by our dance studio. Our 13 year old has been dancing for almost 11 years and walked in to take a tap class. It was mid summer and people were vacationing so she received a semi private lesson and learned a lot! She had a great time!,23,Couples,,Bedford,No Age Found,1,https://www.tripadvisor.com//ShowUserReviews-g60763-d8403548-r290381733-Steps_on_Broadway_Day_Classes-New_York_City_New_York.html#REVIEWS,2334,Dance,No,0,4,03,No,Tapping in NYC,,"2121 Broadway , 3rd Floor , New York City , NY 10023", Aug 2014,5
dancethrulife,Steps on Broadway - Day Classes,06/01,None found,"This is a dance institution, a mecca of sorts. Gelsey Kirkland trained and taught here (please read Dancing on My Grave ASAP if you haven’t already). Steps has a user friendly website for easy registration and purchasing of classes. Class schedule is conveniently posted and you can search/sort by date, dance style, etc. There are many dance styles and levels to choose from. I took a Sunday morning ballet class. This isn't a glitzy place, a little old school even, but it is a true dance studio with excellent classes and teachers. In my classroom, I felt like I was in a scene from The Turning Point. Bring water! It can get really warm in the rooms. Class was excellent and gave me a great workout. There is a little onsite café for snacks and beverages, and a small merchandise store. Great experience! Can’t wait to take class there next time I’m in NYC.",56,Couples,,Illinois,No Age Found,2,https://www.tripadvisor.com//ShowUserReviews-g60763-d8403548-r283938241-Steps_on_Broadway_Day_Classes-New_York_City_New_York.html#REVIEWS,5810,Dance,No,0,40,05,No,Dance Your Heart Out at Steps on Broadway,Chicago,"2121 Broadway , 3rd Floor , New York City , NY 10023", Mar 2011,5
sooz421,92nd Street Y Tisch Center for the Arts,03/01,03/30/16,"This excellent panel discussion introduced us to 92Y programs. It exceeded our expectations. All panel members were articulate, astute & passionate about their "" entrepreneur ship"". We subsequently signed up for two more programs.",3,Solo,,New Jersey,No Age Found,,https://www.tripadvisor.com//ShowUserReviews-g60763-d535066-r360189248-92nd_Street_Y_Tisch_Center_for_the_Arts-New_York_City_New_York.html#REVIEWS,301,Dance,No,0,1,01,No,.Social Entrepreneur ship in the Age of Atrocities,Kinnelon,"1395 Lexington Ave , New York City , NY 10128", Jun 2010,5
clongdog,92nd Street Y Tisch Center for the Arts,03/01,03/23/16,"The 92Y Harkness Dance Center offers an array of performances, classes, workshops and intensives. It is one of the premier presenting organizations in NYC due to its breadth and depth of dance/movement categories and techniques.",15,Solo,,New York,No Age Found,,https://www.tripadvisor.com//ShowUserReviews-g60763-d535066-r357957338-92nd_Street_Y_Tisch_Center_for_the_Arts-New_York_City_New_York.html#REVIEWS,1513,Dance,No,0,13,03,No,Harkness Dance Center,New York City,"1395 Lexington Ave , New York City , NY 10128", Feb 2014,5
