ProviderName,ReviewHelpful,ReviewerAge,ReviewNumPic,ReviewerLocationState,ReviewPicture,ReviewerNumHelpful,ReviewerLevelContrib,ProviderLocation,PointsRate,ReviewerName,ReviewURL,DateVisited,ReviewDate,ReviewText,ReviewType,ReviewerPhotos,ReviewerPoints,ClassType,ReviewerLocationCity,ReviewerGender,ReviewMobile,ReviewerSince,ReviewTitle
Steps on Broadway - Day Classes,1,NA,0,Florida,No,12,05,"2121 Broadway , 3rd Floor , New York City , NY 10023",4,Angelique M,https://www.tripadvisor.com//ShowUserReviews-g60763-d8403548-r297701365-Steps_on_Broadway_Day_Classes-New_York_City_New_York.html#REVIEWS,08/01,08/10/15,My friend and I decided to take an impromptu Int/Adv ballet class after an audition. They had very nice staff and were helpful. I love the piano accompaniment. It brings be back to my youth. I would definitely recommend classes.,Solo,0,0,Dance,Orlando,NA,Yes,0,Ballet class surprise
92nd Street Y Tisch Center for the Arts,,NA,0,NA,No,24,06,"1395 Lexington Ave , New York City , NY 10128",5,LukeUK_12,https://www.tripadvisor.com//ShowUserReviews-g60763-d535066-r328863413-92nd_Street_Y_Tisch_Center_for_the_Arts-New_York_City_New_York.html#REVIEWS,05/01,11/24/15,I had a great experience at 92nd Street Y when I had the pleasure of attending the event 'Richard Lewis in conversation with JB Smoove' back in May. The venue was intimate and the atmosphere relaxed. Coming from the UK and being a big fan of 'Curb Your Enthusiasm' it was a great experience to see these two comedians in revealing conversation. The next time I visit New York I will definitely check out the schedule and hopefully catch another event here.,Solo,0,0,Dance,Manchester,NA,No,0,Special evening
92nd Street Y Tisch Center for the Arts,,NA,0,NA,No,5,04,"1395 Lexington Ave , New York City , NY 10128",4,Holly R,https://www.tripadvisor.com//ShowUserReviews-g60763-d535066-r281924370-92nd_Street_Y_Tisch_Center_for_the_Arts-New_York_City_New_York.html#REVIEWS,05/01,06/21/15,"I've enjoyed concerts and readings, classes and art workshops at this center, and I have always felt welcomed and treated with grace. It is not afraid of having cutting edge thinkers and intellectual dialogue. The catalogue is a thick compendium of the best of NYC. I want to try some of their tours and trips! They even have a strong jewelry making program.",Solo,0,0,Dance,,NA,No,0,A Cultural Center
92nd Street Y Tisch Center for the Arts,,NA,0,NA,No,6,02,"1395 Lexington Ave , New York City , NY 10128",5,Larryslady,https://www.tripadvisor.com//ShowUserReviews-g60763-d535066-r238457165-92nd_Street_Y_Tisch_Center_for_the_Arts-New_York_City_New_York.html#REVIEWS,10/01,11/06/14,I loved this venue and I am looking forward to more programs here. Will definitely go again. The place was packed.,Solo,0,0,Dance,New York,NA,No,0,Great Venue
92nd Street Y Tisch Center for the Arts,,NA,0,New Jersey,No,15,03,"1395 Lexington Ave , New York City , NY 10128",5,ChiccaDag,https://www.tripadvisor.com//ShowUserReviews-g60763-d535066-r236115007-92nd_Street_Y_Tisch_Center_for_the_Arts-New_York_City_New_York.html#REVIEWS,10/01,10/24/14,"Whether it's a conversation with journalists, actors, politicians, humanitarians, economists, musicians in it's acoustically designed auditorium, the 92Y offers wonderful entertainment but mostly thought-provoking conversations. I've attended many events, including jazz in July and preview of The Birdman. The other night I listened to host Thane Rosenbaum talk with WSJ journalist Bret Stephens and Ayaan Hirsi Ali, a defender of Muslim women's rights and it was awe-inspiring! The Y never disappoints. Located at 92nd and Lexington, the Y is surrounded by restaurants and nearby parking that discounts for Y attendance. Anyone visiting - or living in/near - the city should check out all the Y has to offer.",Solo,0,0,Dance,Edgewater,NA,No,0,Something for Everyone
92nd Street Y Tisch Center for the Arts,,NA,0,New York,No,54,05,"1395 Lexington Ave , New York City , NY 10128",4,JoAnn C,https://www.tripadvisor.com//ShowUserReviews-g60763-d535066-r182574403-92nd_Street_Y_Tisch_Center_for_the_Arts-New_York_City_New_York.html#REVIEWS,10/01,10/27/13,"It just doesn't happen often enough. I was very happy to see many of the Sandra Cameron alumni hot footing quickstep, American tango, and swaying boleros. Gene did a great job as DJ, actually getting a finale applause! So, if you are lucky enough to be in town for the next event drop on by...and wear those dancing shoes.",Solo,0,0,Dance,New York City,NA,No,0,Ballroom dancing at the Y
92nd Street Y Tisch Center for the Arts,,NA,0,"New York, USA",No,,0,"1395 Lexington Ave , New York City , NY 10128",5,Tenny5,https://www.tripadvisor.com//ShowUserReviews-g60763-d535066-r181706468-92nd_Street_Y_Tisch_Center_for_the_Arts-New_York_City_New_York.html#REVIEWS,10/01,10/20/13,"I've been a member of the 92nd St. Y since 2009. Throughout that time, they've regularly made improvements and upgrades to their facility, generally keeping it in tip top shape. The people and programming are great, and even when I was recently gone for a few months, people kept coming up to me asking how I'd been and welcoming me back. I plan to keep attending for as long as I live in NY.",Solo,0,0,Dance,New York City,NA,No,0,"Good people, great place"
92nd Street Y Tisch Center for the Arts,,NA,0,New Jersey,No,1,01,"1395 Lexington Ave , New York City , NY 10128",5,sooz421,https://www.tripadvisor.com//ShowUserReviews-g60763-d535066-r360189248-92nd_Street_Y_Tisch_Center_for_the_Arts-New_York_City_New_York.html#REVIEWS,03/01,03/30/16,"This excellent panel discussion introduced us to 92Y programs. It exceeded our expectations. All panel members were articulate, astute & passionate about their "" entrepreneur ship"". We subsequently signed up for two more programs.",Group,0,0,Dance,Kinnelon,NA,No,0,.Social Entrepreneur ship in the Age of Atrocities
92nd Street Y Tisch Center for the Arts,,NA,0,NY,No,18,04,"1395 Lexington Ave , New York City , NY 10128",5,Daisy B,https://www.tripadvisor.com//ShowUserReviews-g60763-d535066-r340089777-92nd_Street_Y_Tisch_Center_for_the_Arts-New_York_City_New_York.html#REVIEWS,11/01,01/14/16,"Gil Shaham is one of the best violinists in the world. His rendition of Bach was extraordinary. I found that the video presentation that was shown on the screen behind him a distraction. Far from adding anything to the performance, it was a source of annoyance. The pictures had nothing to do with the music and were mostly ugly to boot. Mr Shaham's playing does not need any enhancement to begin with and this show would not have enhanced anyone's performance. I can only assume that Mr. Shaham was being charitable in giving the person who prepared the video a chance to be seen.",Group,0,0,Dance,New York,NA,No,0,Heavenly music
92nd Street Y Tisch Center for the Arts,,NA,0,NA,No,40,06,"1395 Lexington Ave , New York City , NY 10128",5,Gloria L,https://www.tripadvisor.com//ShowUserReviews-g60763-d535066-r325373740-92nd_Street_Y_Tisch_Center_for_the_Arts-New_York_City_New_York.html#REVIEWS,11/01,11/08/15,"Was just at a lecture by Rabbi Lord Jonathan Sacks about his book ""Not in God's Name"". He is a brilliant and engaging speaker and it was an amazing talk. After his lecture, he had a sit-down with Eliza Griswold (a journalist) and then took questions from the audience. This is just one of many brilliant and entertaining speakers that the 92nd Street Y hosts. I always check their schedule for upcoming events.",Group,0,0,Dance,,NA,No,0,Amazing Lectures
92nd Street Y Tisch Center for the Arts,,NA,0,Pennsylvania,No,19,05,"1395 Lexington Ave , New York City , NY 10128",5,vFNG,https://www.tripadvisor.com//ShowUserReviews-g60763-d535066-r249265179-92nd_Street_Y_Tisch_Center_for_the_Arts-New_York_City_New_York.html#REVIEWS,12/01,01/14/15,"My husband and I are fans of the humorist Andy Borowitz, of the New Yorker, who has an international blog and Facebook. His biting and insightful humor on current politics and culture always has been painfully true and hilarious at the same time. He predates John Stewart, but has been content to wield his pen and words. But in person, he calmly brings you to laughter and tears, with dry, biting wit. This was our first show at the Y, but I have received their catalog and have always wanted to attend a show. They have famous journalists, politicians, humanitarians, and actors in a classy auditorium with excellent sound. The Y is a few blocks from 86th or 96th subway stop (6 train). You pass several restaurants and residential apartments. We found a nice Italian restauarant, Bocado's on the way.",Group,0,0,Dance,State College,NA,No,0,Andy Borowitz brought laughter and tears!
92nd Street Y Tisch Center for the Arts,,NA,0,CA,No,248,06,"1395 Lexington Ave , New York City , NY 10128",5,GEDLosAngeles_CA,https://www.tripadvisor.com//ShowUserReviews-g60763-d535066-r238166297-92nd_Street_Y_Tisch_Center_for_the_Arts-New_York_City_New_York.html#REVIEWS,10/01,11/04/14,"In addition to the usual Jewish center stuff (nursery school, workout gym, etc.), this place features a wonderful selection of talks, presentations, and smaller group concerts. The auditorium is of moderate size and is classy, if older. We heard the excellent Jerusalem Quartet play its second of three Brahms concerts and the sound was quite wonderful (as was the playing of the group and some additional musicians). The audience was well-behaved and appreciative. In addition to the live performances, the 92nd Street Y now features streaming video presentations of talks. Recently, we heard and saw on our computer two different (and Jewish) Supreme Court Justices featured in separate presentations--Ruth Bader Ginsburg and Stephen Breyer. Their discussions with others were witty and impressive. So, you don't even have to GO to the 92nd Street Y to enjoy it. Prices for events are modest by Manhattan standards and tickets are easily available online, including software that either picks a ""best seat available"" for you or allows you to select your own seat. Transportation is relatively easy. The Lexington Avenue subway has two stops nearby and a bus line stops right across the street (headed downtown on Lex). A wonderful evening whether in Manhattan or, for us, at home in Los Angeles.",Group,0,0,Dance,Los Angeles,NA,No,0,An Intellectual Center for Manhattan
92nd Street Y Tisch Center for the Arts,,NA,0,NA,No,93,06,"1395 Lexington Ave , New York City , NY 10128",5,Msmouse1,https://www.tripadvisor.com//ShowUserReviews-g60763-d535066-r235358211-92nd_Street_Y_Tisch_Center_for_the_Arts-New_York_City_New_York.html#REVIEWS,10/01,10/20/14,the smallish auditorium is great for acoustic music venues and for talks. We saw the Milk Carton Kids & Sarah Jarosz Saturday night and were able to secure a great parking spot on Lex and have a great meal nearby. Close to the FDR for a quick escape back home. Loved the acoustics and the easy access,Group,0,0,Dance,,NA,No,0,Great venue for a concert or talk
92nd Street Y Tisch Center for the Arts,,NA,0,NA,No,152,06,"1395 Lexington Ave , New York City , NY 10128",5,daylilly50,https://www.tripadvisor.com//ShowUserReviews-g60763-d535066-r202244040-92nd_Street_Y_Tisch_Center_for_the_Arts-New_York_City_New_York.html#REVIEWS,03/01,04/22/14,"The Y is one of the best venues in the city. It serves a vast variety of people with its large and diverse array of programs. It's catalogue of course offerings is one of a kind. Concerts and shows rival Broadway The Lyric and Lyricist series ,which we have attended since it's inception gets better each year Every age group will find something of interest to do here",Group,0,0,Dance,LI,NA,No,0,One of the best institutions in the city
92nd Street Y Tisch Center for the Arts,,NA,0,"Arizona, USA",No,2,03,"1395 Lexington Ave , New York City , NY 10128",5,Judith M,https://www.tripadvisor.com//ShowUserReviews-g60763-d535066-r182229002-92nd_Street_Y_Tisch_Center_for_the_Arts-New_York_City_New_York.html#REVIEWS,09/01,10/24/13,"We attended the poetry season opening, a program with pianist Emanuel Ax and narrator-actor Patrick Stewart. The performances were world-class, and the seating and hall are comfortable, with clear sound. If we lived in NYC I think we would be here nearly weekly, since their presentations look terrific.",Group,0,0,Dance,Tucson,NA,No,0,"wonderful program, cozy environment"
