ReviewThanked,ProviderName,ReviewerNumReviews,ReviewHelpful,ReviewerAge,ReviewNumPic,ReviewerPoints,ReviewPicture,ReviewerNumHelpful,ReviewerLevelContrib,ProviderLocation,PointsRate,ReviewerName,ReviewURL,DateVisited,ReviewDate,ReviewText,ReviewType,ReviewerPhotos,ReviewerLocationState,ClassType,ReviewerLocationCity,ReviewerGender,ReviewMobile,ReviewerSince,ReviewTitle
2,Gramercy Park Hotel,1,2,NA,0,102,No,2,0,"2 Lexington Avenue , New York City , NY 10010-5487 2 Lexington Avenue , New York City, NY 10010-5487",5,Evan W,https://www.tripadvisor.com//ShowUserReviews-g60763-d571166-r465060136-Gramercy_Park_Hotel-New_York_City_New_York.html#CHECK_RATES_CONT,03/01/2017,03/06/17,"An amazing team of employees (from sales, to conceirge, and bellman), helped me organize a surprise engagement proposal and everything was absolutely perfect. Can't wait to go back and celebrate again!",Couples,,NA,Dance,,NA,No,03/17,Amazing hotel and even better employees.
1,Gramercy Park Hotel,2,1,NA,0,396,No,1,0,"2 Lexington Avenue , New York City , NY 10010-5487 2 Lexington Avenue , New York City, NY 10010-5487",5,caitrionakiely,https://www.tripadvisor.com//ShowUserReviews-g60763-d571166-r462377452-Gramercy_Park_Hotel-New_York_City_New_York.html#CHECK_RATES_CONT,10/01/2016,02/23/17,"My husband and I had our wedding here in October of last year and it was everything we could have wished for and more. The staff are so friendly and helpful, and Kay, our event coordinator, made everything so unbelievably easy for us. Everything was taken care of down to the smallest touches and they were able to accommodate all of our needs. The terrace where the reception was held was stunning on the day and all of our guests were completely blown away. It is a very unique setting for a wedding which is exactly what we wanted. The hotel itself is beautiful and has a really nice feel with incredible artwork hanging from every wall and an interior that is both chic and cosy. Our room was also gorgeous with views over Gramercy Park and all the beautiful townhouses surrounding it. The location is perfect and the street is so pretty and quiet. We will definitely be returning the next time we are in NYC!",Couples,5,China,Dance,Hong Kong,NA,No,02/17,Magical wedding at the Gramercy Park Hotel
2,Gramercy Park Hotel,2,2,NA,0,207,No,2,0,"2 Lexington Avenue , New York City , NY 10010-5487 2 Lexington Avenue , New York City, NY 10010-5487",5,fdell3686,https://www.tripadvisor.com//ShowUserReviews-g60763-d571166-r461039323-Gramercy_Park_Hotel-New_York_City_New_York.html#CHECK_RATES_CONT,12/01/2016,02/18/17,"Always well received , beautiful hotel well located with helpful personnel. Quiet part of town yet close to everything. Love the colours in the rooms and common areas. Helpful concierge for last minute reservations.",Couples,,Canada,Dance,Montreal,NA,No,02/17,Feels like home
0,Gramercy Park Hotel,59,,NA,0,5925,No,20,0,"2 Lexington Avenue , New York City , NY 10010-5487 2 Lexington Avenue , New York City, NY 10010-5487",5,Rwi302,https://www.tripadvisor.com//ShowUserReviews-g60763-d571166-r454153667-Gramercy_Park_Hotel-New_York_City_New_York.html#CHECK_RATES_CONT,01/01/2017,01/22/17,"This is a great hotel in a fine location, and so special to feel intimate in the heart of NYC. Guests become part of the neighborhood. Decor is great, all the common areas nice, restaurant is a star and the bars are lively and very popular. Service is understated but perfect.",Couples,,Alabama,Dance,Mobile,NA,No,12/10,Neighborhood anchor
1,Gramercy Park Hotel,6,1,NA,0,661,No,6,0,"2 Lexington Avenue , New York City , NY 10010-5487 2 Lexington Avenue , New York City, NY 10010-5487",4,SFMJ,https://www.tripadvisor.com//ShowUserReviews-g60763-d571166-r452919531-Gramercy_Park_Hotel-New_York_City_New_York.html#CHECK_RATES_CONT,07/01/2016,01/17/17,"We stayed 5 days at GpH in blistering hot July 2016 weekend. Overall it was an excellent experience, with the hotel as a central hide out in the Big Apple. We thought the service was excellent, albeit that the effectiveness of communication could be better. That said people were very nice, rooms clean, we had a suite on one of the higher floors, everything worked (except somehow always the Bluetooth connection on the hifi).. In all we were very happy at a reasonable price. We very much liked the concierge service in advance of our stay. THey helped us swiftly and effectively find locations for entertainment and late dining, in a way we very much appreciated. GpH is of course ideally located in the middle of Manhattan with virtually everything at walking or biking (must do: ride a bike down Lexington!) distance. Even with the hot weather we walked almost everywhere and where amazed at how easy this was. We did not use much of the hotels facilities other than our room. The Italian restaurant is great and has a very nice easy going rustle-bustle but at the same time calm atmosphere, with very good food and wines. Other than that we tried our luck throughout Manhattan, with the very many locations close to the hotel.",Couples,,NA,Dance,holland,NA,No,01/10,Luxurious feeling
2,Gramercy Park Hotel,41,2, Female ,0,6590,No,15,0,"2 Lexington Avenue , New York City , NY 10010-5487 2 Lexington Avenue , New York City, NY 10010-5487",5,NoBatteriesRequired,https://www.tripadvisor.com//ShowUserReviews-g60763-d571166-r457002033-Gramercy_Park_Hotel-New_York_City_New_York.html#CHECK_RATES_CONT,01/01/2017,02/03/17,"It was a case of stay warm or out in the cold and face the snow that wasn't letting up. My first thought was cinema and popcorn, but the queues? Well, it seemed like all of us tourists had the same thoughts. So, I continued walking up Broadway towards Lexington and opted to sit by the fire in the Gramercy Park Hotel. drink in one hand, book in the other, I settled down. Very atmospheric. You can you the WiFi free of charge (just ask the people at the front desk), read the dailies on the coffee table by the open fire, which is a real one with logs and watch the dancing flames! Alternatively, move on into the bar (opens at 1.30pm) on the right hand side or simply brunch, lunch or have dinner in the hotel's restaurant on the left hand side of the entrance. The restaurant may require booking beforehand if you go during their busy times. The scenario reminds of Christmas back in the days.",Solo,66,NA,Dance,,F,No,04/09,Came in Out of the Snow
0,Gramercy Park Hotel,42,,NA,0,4518,No,8,0,"2 Lexington Avenue , New York City , NY 10010-5487 2 Lexington Avenue , New York City, NY 10010-5487",5,MadeinNewY0rk,https://www.tripadvisor.com//ShowUserReviews-g60763-d571166-r439135695-Gramercy_Park_Hotel-New_York_City_New_York.html#CHECK_RATES_CONT,11/01/2016,11/21/16,"The suites are designed with such care and dedication to detail. The rooms have vintage furniture period pieces along with lots of gorgeous bedding, rugs and tapestries. The service was excellent. They didn't have smoked salmon bagels on the breakfast menu, so they went out to get some and delivered it with nice serve ware and pretty quickly too. And it was raining!! The fireplace downstairs is comforting and at night, the bar has a wonderful lively scene with amazing drinks. Love!!",Solo,4,NA,Dance,New York,NA,Yes,08/16,Time portal into the romantic past!
1,Gramercy Park Hotel,2,1, Female ,0,201,No,1,0,"2 Lexington Avenue , New York City , NY 10010-5487 2 Lexington Avenue , New York City, NY 10010-5487",5,Kiely F,https://www.tripadvisor.com//ShowUserReviews-g60763-d571166-r437145757-Gramercy_Park_Hotel-New_York_City_New_York.html#CHECK_RATES_CONT,11/01/2016,11/14/16,"I just returned from a weekend in NYC, and stayed at GPH. Honestly, my main motivation for booking was park access (as I'm a bit of a history nerd, and really wanted to see the Booth statue up close, just once). After booking, I came to this site and read some reviews.... I was concerned as some mentioned unpleasant staff... I am very pleased to report my experience could not have been more different. Every single staff member, from reception to house keeping to the wonderful door men, was polite, pleasant and (above all) helpful to a fault. My room was beautifully appointed (I stayed in a Junior Suite), quiet, clean... wonderful. I would highly recommend this hotel, and have every intention to stay here again. Oh, and the park? WORTH IT. Bucket list item = checked.",Solo,,Illinois,Dance,Chicago,F,No,07/16,Lovely Weekend!
2,Gramercy Park Hotel,2,2,NA,0,202,No,2,0,"2 Lexington Avenue , New York City , NY 10010-5487 2 Lexington Avenue , New York City, NY 10010-5487",5,veco60,https://www.tripadvisor.com//ShowUserReviews-g60763-d571166-r424529408-Gramercy_Park_Hotel-New_York_City_New_York.html#CHECK_RATES_CONT,10/01/2016,10/02/16,On Sundays the Jade Bar is closed. Jonas is the Sunday bartender in Rose Bar. He's polite and remembers everyone's usual drink. Feels very neighborly and comfortable. I will continue to come back whenever he's behind the bar.,Solo,,NA,Dance,,NA,Yes,10/16,Rose Bar
2,Gramercy Park Hotel,1,2,NA,0,132,No,2,0,"2 Lexington Avenue , New York City , NY 10010-5487 2 Lexington Avenue , New York City, NY 10010-5487",5,EvaRandhawa,https://www.tripadvisor.com//ShowUserReviews-g60763-d571166-r414943879-Gramercy_Park_Hotel-New_York_City_New_York.html#CHECK_RATES_CONT,07/01/2016,09/05/16,"After having stayed here twice within the past ten months, The GPH is undoubtedly the finest hotel in NYC. Most recently, I stayed here for a full 4 weeks because I wanted to live in a quiet but cultural area, which felt homely but not so “hotel” like. I can assure anybody that the GPH is all of these things and much more. If you decide to stay here and let me tell you that you would be daft NOT to, you would surely be very well attended-to. The hotel management are highly competent and fulfil your every bespoke requirements. You will also find yourself in the beautiful, quiet and relaxed neighbourhood that is Gramercy, where there are numerous, good restaurants and cafes nearby - Irving place is a good place to check out and only a few blocks ascending Lexington Ave, if you’re partial to some “spice in your life”, you'll find a hub of Indian Restaurants also known as ""Curry Hill”. The hotel is in the best of locations and is in close-proximity to more or less, everywhere you would want to go. Yes, it is also most ideal for the type of folks who wish to find a retreat away from the constant electricity of the city BUT even more important is the actual fact, that the GPH is a special place because it is unassuming, relaxed, extremely genuine and unpretentious, while it makes you feel as if it is exclusively for you! In addition to all these positives, I also guarantee that you will find NO other place that is as aromatic as the GPH! The woody scent shall linger in your nasal cells forever (or until you re-vist at least. Le Labo Cade 26 candles infuse every layer of the building, from the lower ground floor, through to the running machines in the gym, diffusing upwards towards the ceiling of your hotel suite! The GPH radiates a divinity that will force to question yourself whether to leave the hotel or not. An utterly genteel experience was had during the month that I stayed here. This is not only because of its given sophisticated charm and the great gallery of full fledged works of art that it houses but more significantly because the hotel is actually represented by some very fine, engaging and supporting members of staff who are willing to look and listen to you - this is what was distinctive. Upon entering/exiting the main door, you cannot miss being greeted and helped with the big, welcoming and friendly smile who is known as “Carlos”. He is particularly brilliant and considerate (as well as charming) and will offer you his assistance at all times. In addition, the Front Desk team, including “Sam"", “James"", “Fady"", “Amber"" and “Betty"" were highly attentive and accommodated me in my every request. The A lady named “Alana” from Room Service was particularly helpful too, as was the very kind Housekeeper, “Valselka”. The Concierge associates “Joy” and “Bernardo” were also informative in regards to shortcuts around the city. I can conclude that the Gramercy Park Hotel is simply a wonderful place to spend however you long you wish and the operators who work here, are some of the loveliest people you will find in the city.",Solo,,United Kingdom,Dance,Glasgow,NA,No,09/16,The Gramercy Park Hotel - a best friend in New York City
