ReviewThanked,ProviderName,ReviewerNumReviews,ReviewHelpful,ReviewerAge,ReviewNumPic,ReviewerPoints,ReviewPicture,ReviewerNumHelpful,ReviewerLevelContrib,ProviderLocation,PointsRate,ReviewerName,ReviewURL,DateVisited,ReviewDate,ReviewText,ReviewType,ReviewerPhotos,ReviewerLocationState,ClassType,ReviewerLocationCity,ReviewerGender,ReviewMobile,ReviewerSince,ReviewTitle
0,The National 9/11 Memorial & Museum,61,, 50-64 year old female ,0,6212,No,17,05,"180 Greenwich St , World Trade Center , New York City , NY 10007-0089",5,gghorse,https://www.tripadvisor.com//ShowUserReviews-g60763-d1687489-r465185237-The_National_9_11_Memorial_Museum-New_York_City_New_York.html#REVIEWS,02/01/2017,03/06/17,Had previously visited the Memorial and found it very moving. This time the museum was finished and was just excellent. Really moving and gave a small inside into the devastation that 9/11 caused. I would say this is a must see in NYC.,Couples,3,NA,Dance,australia,F,Yes,06/07,Awesome experience
0,The National 9/11 Memorial & Museum,82,,NA,0,8490,No,35,05,"180 Greenwich St , World Trade Center , New York City , NY 10007-0089",5,Lisa K,https://www.tripadvisor.com//ShowUserReviews-g60763-d1687489-r465180124-The_National_9_11_Memorial_Museum-New_York_City_New_York.html#REVIEWS,03/01/2017,03/06/17,"There are simply not enough words to describe this experience! It's a beautiful tribute to all of those who lost their lives that day! You will need a few hours just to walk around and see everything and take everything in! Bring plenty of tissues, you'll need them...it's that moving! For those that were either not born or too young to remember, it's a great history lesson, and for those who do remember...may you never forget!",Couples,5,Florida,Dance,Bushnell,NA,Yes,08/13,A Must See
0,The National 9/11 Memorial & Museum,12,,NA,0,1201,No,1,03,"180 Greenwich St , World Trade Center , New York City , NY 10007-0089",5,Michele B,https://www.tripadvisor.com//ShowUserReviews-g60763-d1687489-r465169662-The_National_9_11_Memorial_Museum-New_York_City_New_York.html#REVIEWS,03/01/2017,03/06/17,"My second visit to the 9/11 memorial and museum remains a moving, intense and overwhelming experience. The personal accounts of the day's events are painful and difficult to comprehend as are the pieces of history. This has to be the only Museum in the world that provides tissues to its visitors. The museum is powerful, haunting but so vital to our healing.",Couples,,NA,Dance,,NA,Yes,12/15,Intense and Overwhelming
0,The National 9/11 Memorial & Museum,15,,NA,0,2176,No,6,03,"180 Greenwich St , World Trade Center , New York City , NY 10007-0089",5,chrisrostance,https://www.tripadvisor.com//ShowUserReviews-g60763-d1687489-r465162775-The_National_9_11_Memorial_Museum-New_York_City_New_York.html#REVIEWS,03/01/2017,03/06/17,"We came here at 11.30 march 8th. We were lucky and no waiting at all. This memorial is definitely worth visiting. It's educational, emotional and interesting.",Couples,21,NA,Dance,karlslunde,NA,Yes,05/09,Emotional
0,The National 9/11 Memorial & Museum,5,,NA,0,662,No,2,02,"180 Greenwich St , World Trade Center , New York City , NY 10007-0089",5,boots68,https://www.tripadvisor.com//ShowUserReviews-g60763-d1687489-r465154981-The_National_9_11_Memorial_Museum-New_York_City_New_York.html#REVIEWS,03/01/2017,03/06/17,this was an excellent tribute. We spent over 2 hours there and ended up having to rush at the end as we had to be somewhwere but we could have easily spent more time in there. You will relive that day. Excellent job. If they had a way to monitor how many people are in the museum at a time that would help as it did get very busy and hard to move around at certain spots. I would recommend purchasing your ticket in advance or at one of the machines around the building. Allow yourself ample time so as not to have to rush through it.,Couples,,NA,Dance,ontario,NA,No,01/08,worth the price of admission
0,The National 9/11 Memorial & Museum,4,,NA,0,400,No,,01,"180 Greenwich St , World Trade Center , New York City , NY 10007-0089",5,Marian C,https://www.tripadvisor.com//ShowUserReviews-g60763-d1687489-r464988592-The_National_9_11_Memorial_Museum-New_York_City_New_York.html#REVIEWS,02/01/2017,03/06/17,"A must see when in New York, the museum tells the story in a very elaborate and intimate way. The memorial with all the names...no words can describe it.",Solo,,NA,Dance,,NA,No,12/12,Must see...
0,The National 9/11 Memorial & Museum,93,,NA,0,9378,No,28,05,"180 Greenwich St , World Trade Center , New York City , NY 10007-0089",5,HanniHannover,https://www.tripadvisor.com//ShowUserReviews-g60763-d1687489-r464347595-The_National_9_11_Memorial_Museum-New_York_City_New_York.html#REVIEWS,03/01/2017,03/03/17,"Impressive monument - with dignity, thoughtfulness and style. Really honouring the unfortunate ones who where in the Twin Towers and the brave one who went in to rescue them!",Solo,1,NA,Dance,,NA,Yes,08/14,Impressive
0,The National 9/11 Memorial & Museum,362,, ,0,36965,No,90,06,"180 Greenwich St , World Trade Center , New York City , NY 10007-0089",5,occdocbill,https://www.tripadvisor.com//ShowUserReviews-g60763-d1687489-r464173032-The_National_9_11_Memorial_Museum-New_York_City_New_York.html#REVIEWS,03/01/2017,03/02/17,"Be prepared to spend at least 3 hours here to get the maximum benefit. I did the self-guided tour, but the guided tour was likely worth any extra cost. From the video to the many window boxes, everything was beautifully arranged/displayed. One feels like he/she was on-site that day with the combination of audio, video and paraphernalia. There are huge pieces of the towers, a staircase, 2 fire trucks and thousands of artifacts preserved for all generations, reminding us of how evil is very present in this world and that we need to be vigilant and always striving for peace. I cannot imagine how relatives of those who perished feel in that environment, but they have to appreciate how much has been done to honor their lost loved ones.",Solo,19,WI,Dance,La Crosse,NA,Yes,11/05,Amazingly and tastefully designed can't miss experience
0,The National 9/11 Memorial & Museum,48,, 35-49 year old male ,0,5945,No,5,05,"180 Greenwich St , World Trade Center , New York City , NY 10007-0089",5,Robert B,https://www.tripadvisor.com//ShowUserReviews-g60763-d1687489-r464156679-The_National_9_11_Memorial_Museum-New_York_City_New_York.html#REVIEWS,03/01/2017,03/02/17,"As a former firefighter and EMT, to visit this place, this hallowed ground is truly a moving, humbling and emotional place. Not to be missed. 343 forever.",Solo,9,"Kentucky, United States",Dance,Louisville,M,No,11/13,Humbling
0,The National 9/11 Memorial & Museum,95,,NA,0,9805,No,45,05,"180 Greenwich St , World Trade Center , New York City , NY 10007-0089",5,Helen S,https://www.tripadvisor.com//ShowUserReviews-g60763-d1687489-r463850479-The_National_9_11_Memorial_Museum-New_York_City_New_York.html#REVIEWS,02/01/2017,03/01/17,"I had been to the memorial pools before, but never had the time to see the museum until this trip. Joined a guided tour and it was well worth the money to do so. Our guide was knowledgeable and very sensitive to what we were seeing. He was able to add a lot of color and extra information to all the exhibits and really brought the people to life for our tour group. Things like - when you are at the memorial pools and a white rose is attached to a person's name etched around the edge of the pools, it signifies that it is that individual's birthday - that brought tears to my eyes.",Solo,7,"Massachusetts, United States",Dance,Concord,NA,No,11/12,What the white rose means
