ReviewThanked,ProviderName,ReviewerNumReviews,ReviewHelpful,ReviewerAge,ReviewNumPic,ReviewerPoints,ReviewPicture,ReviewerNumHelpful,ReviewerLevelContrib,ProviderLocation,PointsRate,ReviewerName,ReviewURL,DateVisited,ReviewDate,ReviewText,ReviewType,ReviewerPhotos,ReviewerLocationState,ClassType,ReviewerLocationCity,ReviewerGender,ReviewMobile,ReviewerSince,ReviewTitle
0,Buffalo Wild Wings,40,,NA,0,4297,No,27,04,"5815 E Sam Houston Pkwy N , Houston , TX 77049-2523 5815 E Sam Houston Pkwy N , Houston, TX 77049-2523",4,Schimi31,https://www.tripadvisor.com//ShowUserReviews-g56003-d4195295-r346192675-Buffalo_Wild_Wings-Houston_Texas.html#REVIEWS,02/01/2016,02/09/16,"First time i went to this restuarant the wings were good, this time i was fortunate enough to take my husband with, and i still love it, it has not dissappointed yet!",Couples,7,NA,Dance,,NA,Yes,01/13,Wings still as good as 2 before!!!
0,Buffalo Wild Wings,24,,NA,0,2411,No,11,03,"5815 E Sam Houston Pkwy N , Houston , TX 77049-2523 5815 E Sam Houston Pkwy N , Houston, TX 77049-2523",1,Bill B,https://www.tripadvisor.com//ShowUserReviews-g56003-d4195295-r340335553-Buffalo_Wild_Wings-Houston_Texas.html#REVIEWS,01/01/2016,01/15/16,Waited over 30 minutes for food when we decided to go. Ask to speak to the manager and all she said was we took it off the bill. Kept waiting to hear sorry for the bad service but never happened. Will never return.,Couples,,Texas,Dance,Houston,NA,Yes,11/14,Horrible experience
0,Buffalo Wild Wings,388,, 50-64 year old male ,0,51549,No,89,06,"5815 E Sam Houston Pkwy N , Houston , TX 77049-2523 5815 E Sam Houston Pkwy N , Houston, TX 77049-2523",5,Larry1778,https://www.tripadvisor.com//ShowUserReviews-g56003-d4195295-r376261076-Buffalo_Wild_Wings-Houston_Texas.html#REVIEWS,05/01/2016,05/24/16,"Ashley immediately served me. Shiner Boch beer, 4 wings (lemon dry rub) and roasted corn salad. Watching B'ball games during my dinner. Alex was the Captain and also made sure I was satisfied. Excellent first time at Buffalo WW.",Solo,420,NA,Dance,New Jersey,M,Yes,02/10,Wow! This is my first time!
0,Gyu-Kaku Japanese Bbq Dining,47,, 65+ year old female ,0,5202,No,22,05,"510 Gray St Ste A , Houston , TX 77002-8690 510 Gray St Ste A , Houston, TX 77002-8690",5,Sandra J,https://www.tripadvisor.com//ShowUserReviews-g56003-d7064122-r459698797-Gyu_Kaku_Japanese_Bbq_Dining-Houston_Texas.html#REVIEWS,02/01/2017,02/14/17,"We thoroughly enjoyed our meal. While in the military, my husband had spent a great deal of time in Japan and loves this form of cuisine. In trying to describe it to friends, I said ""try to imagine a fondue dinner but using an habachi"". We ordered a lovely variety of meats, seafood and vegetables to grill and complimented it with a delicious noodle dish and potstickers. It was on a Monday evening, entitling us to Hsppy Hour prices. And our server was knowledgeable and attentive. Try also the newest location in Orlando across from the Drury Hotel!",Couples,7,NA,Dance,Minnesota,F,Yes,07/12,Amazing
0,Gyu-Kaku Japanese Bbq Dining,6,,NA,0,635,No,5,02,"510 Gray St Ste A , Houston , TX 77002-8690 510 Gray St Ste A , Houston, TX 77002-8690",1,Gene S,https://www.tripadvisor.com//ShowUserReviews-g56003-d7064122-r437363402-Gyu_Kaku_Japanese_Bbq_Dining-Houston_Texas.html#REVIEWS,11/01/2016,11/15/16,We arrived to discover that our Saturday evening reservation was given to another party -- our infraction ? 10 minutes late due to heavy Houston traffic. What is the remedy? We were told that we must wait at the end of the list which was 1.5 hours estimate. We were so surprised by their unprofessional attitude that we left. It became apparent that this place is about packing as many people into a small space as possible and turn as many tables to keep the flow going. We were disappointed in their callous hostess and lack of empathy expressed towards a party of four who drove a distance to be there. We dined down the street where other Japanese restaurants were available and accommodating.,Couples,1,Massachusetts,Dance,Boston,NA,No,12/12,... they cancelled our reservation ....
0,Gyu-Kaku Japanese Bbq Dining,64,,NA,0,11652,No,12,06,"510 Gray St Ste A , Houston , TX 77002-8690 510 Gray St Ste A , Houston, TX 77002-8690",4,Toby V,https://www.tripadvisor.com//ShowUserReviews-g56003-d7064122-r402626860-Gyu_Kaku_Japanese_Bbq_Dining-Houston_Texas.html#REVIEWS,08/01/2016,08/07/16,This is one of those cook your own meat places. Always seems strange but it can be a bit of fun. Japanese BBQ is a change from the sushi I'm used to so we ordered a range of meats and sides. All were delicious and the smores at the end topped everything off. I recommend the chicken wings. Delicious.,Couples,168,NA,Dance,,NA,Yes,03/15,Delicious and different dinner
0,Gyu-Kaku Japanese Bbq Dining,98,,NA,0,10248,No,43,06,"510 Gray St Ste A , Houston , TX 77002-8690 510 Gray St Ste A , Houston, TX 77002-8690",4,Livelife88,https://www.tripadvisor.com//ShowUserReviews-g56003-d7064122-r402232498-Gyu_Kaku_Japanese_Bbq_Dining-Houston_Texas.html#REVIEWS,08/01/2016,08/06/16,"Great place for dinner. We unfortunately missed out on the ""happy hour"" deal for $45 but chose a range of meats, sides and chicken wings at a reasonable price instead. All tasted great and surprisingly not as oily as some other similar bbq places I have been too. We finished the meal off with some smores which was a great using the grill.",Couples,12,NA,Dance,,NA,Yes,08/11,Great spot
0,Gyu-Kaku Japanese Bbq Dining,128,, 35-49 year old female ,0,13551,No,36,06,"510 Gray St Ste A , Houston , TX 77002-8690 510 Gray St Ste A , Houston, TX 77002-8690",5,Namie78,https://www.tripadvisor.com//ShowUserReviews-g56003-d7064122-r393007544-Gyu_Kaku_Japanese_Bbq_Dining-Houston_Texas.html#REVIEWS,07/01/2016,07/15/16,"I must say that i had a high expectation on this restaurant, tried their location in Oahu, hawaii and i was more than satisfied with the service and the quality of food. It took us almost 5 hours driving from Dallas to get to Houston, just for the pleasure to have some real japanese grill bbq... or Yakiniku as we call in japanese. It totally worht it... i must say that the service, quality of food and cuts were superb ! we just love it ! Even the waiter that was a trainee was super nice with us ! good job trainer !! sorry we dont remember your name...but for sure next time we will look for you ! Only one recomendation, as japanese we always eat yakiniku with Daikon oroshi (radish) and we couldt find it on the menu... we really need it !! we love it wit our food ! is part of heritage! please include it as side order!. Definetly i will keep recomending to all our friends!",Couples,,NA,Dance,,F,No,01/09,Super Satisfied !
0,Gyu-Kaku Japanese Bbq Dining,37,,NA,0,4693,No,3,04,"510 Gray St Ste A , Houston , TX 77002-8690 510 Gray St Ste A , Houston, TX 77002-8690",5,SebastiÃ¡n D,https://www.tripadvisor.com//ShowUserReviews-g56003-d7064122-r404685918-Gyu_Kaku_Japanese_Bbq_Dining-Houston_Texas.html#REVIEWS,06/01/2016,08/12/16,"The place has a great decoration and having a small grill in the middle of your table makes all the difference. They serve small dishes, try as many as you can, mushrooms and lamb in my opinion are the best. Definitely I will come back to this place!",Solo,33,Mexico,Dance,Mexico City,NA,No,03/16,Delicious food in a great place
0,Gyu-Kaku Japanese Bbq Dining,129,,NA,0,13331,No,31,06,"510 Gray St Ste A , Houston , TX 77002-8690 510 Gray St Ste A , Houston, TX 77002-8690",2,Richard R,https://www.tripadvisor.com//ShowUserReviews-g56003-d7064122-r316186037-Gyu_Kaku_Japanese_Bbq_Dining-Houston_Texas.html#REVIEWS,10/01/2015,10/04/15,Well........if you go by yourself. don't expect much food! ( A la carte) I received the smallest portion of meat I have ever had. and especially for that price. The food tasted okay. and the service was good. The hot was warm at best. I guess I'm use to Korean BBQ. All you can eat and all the sides you want. I got lucky on the parking. Very doubtful if I'll return.,Solo,11,California,Dance,Downey,NA,No,01/12,Not what I expected
0,Gyu-Kaku Japanese Bbq Dining,120,, 50-64 year old female ,0,12690,No,60,06,"510 Gray St Ste A , Houston , TX 77002-8690 510 Gray St Ste A , Houston, TX 77002-8690",4,CBHegarty,https://www.tripadvisor.com//ShowUserReviews-g56003-d7064122-r257224210-Gyu_Kaku_Japanese_Bbq_Dining-Houston_Texas.html#REVIEWS,01/01/2015,03/01/15,"visited here during a recent trop to Houston. You have the preference to cook your own on a mini grill at the table and looked fun as a few other customers were doing this. I chose not to and eat a few options of the starter menu, i have the vegetable spring rolls which were delicious and the chicken teryiaki which came to the table in a sizzling dish, it was very good, Also tried the melon drink which was refreshing change but a bit sweet and sickly after half a glass. Overall a good restaurant and would return. the staff shouted weocomes in japanese phrases which was very unique and pleasant :)",Solo,8,United Kingdom,Dance,Derry,F,No,08/12,Gyu-Kaku good food
0,Gyu-Kaku Japanese Bbq Dining,61,, 25-34 year old male ,0,6910,No,30,05,"510 Gray St Ste A , Houston , TX 77002-8690 510 Gray St Ste A , Houston, TX 77002-8690",4,AbeMovingForward,https://www.tripadvisor.com//ShowUserReviews-g56003-d7064122-r234404205-Gyu_Kaku_Japanese_Bbq_Dining-Houston_Texas.html#REVIEWS,09/01/2014,10/14/14,"I wasn't too crazy about the thought of having to grill my own lunch. However, it was a fun experience. I went for a solo lunch (and returned several times). I'll have to bring some friends one day. My favorites were the garlic noodles, bacon wrapped scallops and lamb chops. The meat and seafood are fresh, and the service has been good.",Solo,26,Texas,Dance,Houston,M,No,11/10,Different and interesting...
0,Ocean Palace,75,,NA,0,7563,No,23,05,"11215 Bellaire Blvd Ste D , Houston , TX 77072-2534 11215 Bellaire Blvd Ste D , Houston, TX 77072-2534",4,HERMAN C,https://www.tripadvisor.com//ShowUserReviews-g56003-d470297-r463335309-Ocean_Palace-Houston_Texas.html#REVIEWS,02/01/2017,02/27/17,"The egg rolls were magnificent. Fried rice great. I really like the round balls covered with sesame seeds (Sorry, I don't know what they are called, my bad).. Basically the food was very good. However the place could definitely used with some sprucing up and cleaning up. We found out the hard way that the dim sum is only served from 10a to 3p. Their website does not inform visitors of this fact.",Couples,,Louisiana,Dance,Lafayette,NA,No,04/16,"Food excellent, but..."
